"adm2_name","adm2_pcode","scenario","start","end","phase_majority","phase_mean"
"Baki","SO1102","current",2017-01-01,2017-01-01,2,1.99999666213989
"Borama","SO1101","current",2017-01-01,2017-01-01,1,1.01048636436462
"Lughaye","SO1103","current",2017-01-01,2017-01-01,3,2.99404716491699
"Zeylac","SO1104","current",2017-01-01,2017-01-01,3,2.99811196327209
"Ceel Barde","SO2502","current",2017-01-01,2017-01-01,3,2.99894428253174
"Rab Dhuure","SO2505","current",2017-01-01,2017-01-01,3,2.80833888053894
"Tayeeglow","SO2503","current",2017-01-01,2017-01-01,3,2.99713730812073
"Waajid","SO2504","current",2017-01-01,2017-01-01,3,2.9986629486084
"Xudur","SO2501","current",2017-01-01,2017-01-01,3,3
"Bondhere","SO2201","current",2017-01-01,2017-01-01,2,2
"Cabdulasis","SO2202","current",2017-01-01,2017-01-01,2,2
"Daynile","SO2203","current",2017-01-01,2017-01-01,2,2
"Dharkenley","SO2204","current",2017-01-01,2017-01-01,2,2
"Hamar Jabjab","SO2205","current",2017-01-01,2017-01-01,2,2
"Hamar Weyne","SO2206","current",2017-01-01,2017-01-01,2,2
"Hawl Wadaag","SO2207","current",2017-01-01,2017-01-01,2,2
"Heliwa","SO2208","current",2017-01-01,2017-01-01,2,2
"Hodan","SO2209","current",2017-01-01,2017-01-01,2,2
"Kahda","SO2210","current",2017-01-01,2017-01-01,2,2
"Karaan","SO2211","current",2017-01-01,2017-01-01,2,2
"Shangaani","SO2212","current",2017-01-01,2017-01-01,2,2
"Shibis","SO2213","current",2017-01-01,2017-01-01,2,2
"Unspecified","Unspecified","current",2017-01-01,2017-01-01,2,2
"Waaberi","SO2214","current",2017-01-01,2017-01-01,2,2
"Wadajir (Medina)","SO2215","current",2017-01-01,2017-01-01,2,2
"Wardhigley","SO2216","current",2017-01-01,2017-01-01,2,2
"Yaaqshid","SO2217","current",2017-01-01,2017-01-01,2,2
"Bandarbeyla","SO1602","current",2017-01-01,2017-01-01,3,2.99879264831543
